"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Total_FC","Total Free Cholesterol","BC_premeno","0.935(95% CI:0.717-1.219; P=0.6193753887)","0.922(95% CI:0.878-0.968; P=0.0011348933)","1.057(95% CI:0.774-1.445; P=0.7256880667)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_L","Total Lipids in Lipoprotein Particles","BC_premeno","0.942(95% CI:0.726-1.221; P=0.6516296617)","0.921(95% CI:0.878-0.965; P=0.0006332087)","1.027(95% CI:0.754-1.397; P=0.867350387)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_PL","Total Phospholipids in Lipoprotein Particles","BC_premeno","0.96(95% CI:0.746-1.235; P=0.7501836724)","0.918(95% CI:0.875-0.962; P=0.0003432253)","1.07(95% CI:0.791-1.448; P=0.6610421201)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_TG","Total Triglycerides","BC_premeno","0.999(95% CI:0.766-1.304; P=0.9966848907)","0.952(95% CI:0.904-1.002; P=0.0589165726)","0.899(95% CI:0.641-1.26; P=0.5352059992)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Tyr","Tyrosine","BC_premeno","0.863(95% CI:0.671-1.11; P=0.2510606052)","0.924(95% CI:0.88-0.97; P=0.0013906101)","0.967(95% CI:0.716-1.307; P=0.8282385435)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Unsaturation","Degree of Unsaturation","BC_premeno","0.88(95% CI:0.679-1.141; P=0.3354088456)","0.943(95% CI:0.896-0.991; P=0.0214207997)","1.005(95% CI:0.728-1.387; P=0.9771108637)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Val","Valine","BC_premeno","0.971(95% CI:0.76-1.242; P=0.8160019617)","0.967(95% CI:0.921-1.014; P=0.1644081564)","1.134(95% CI:0.834-1.542; P=0.4223626459)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_C","VLDL Cholesterol","BC_premeno","0.978(95% CI:0.747-1.282; P=0.8734545921)","0.943(95% CI:0.897-0.992; P=0.0220434326)","0.977(95% CI:0.708-1.347; P=0.8862241922)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_CE","Cholesteryl Esters in VLDL","BC_premeno","0.98(95% CI:0.747-1.285; P=0.8845337612)","0.945(95% CI:0.899-0.994; P=0.0269018428)","0.995(95% CI:0.721-1.372; P=0.975353116)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_FC","Free Cholesterol in VLDL","BC_premeno","0.991(95% CI:0.753-1.303; P=0.9456414488)","0.941(95% CI:0.894-0.991; P=0.0213121534)","0.951(95% CI:0.683-1.326; P=0.7679604613)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_L","Total Lipids in VLDL","BC_premeno","0.988(95% CI:0.756-1.292; P=0.930186771)","0.946(95% CI:0.9-0.995; P=0.0307838101)","0.927(95% CI:0.668-1.286; P=0.6493540399)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_PL","Phospholipids in VLDL","BC_premeno","0.998(95% CI:0.76-1.311; P=0.9895512957)","0.946(95% CI:0.898-0.996; P=0.0334663628)","0.942(95% CI:0.675-1.314; P=0.7245537014)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_TG","Triglycerides in VLDL","BC_premeno","1.01(95% CI:0.773-1.32; P=0.942550676)","0.954(95% CI:0.906-1.005; P=0.0784058362)","0.898(95% CI:0.637-1.266; P=0.5395548335)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_C","Cholesterol in Very Large HDL","BC_premeno","1.078(95% CI:0.842-1.382; P=0.5508588922)","0.998(95% CI:0.949-1.051; P=0.9529700931)","1.264(95% CI:0.939-1.701; P=0.1227597915)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_CE","Cholesteryl Esters in Very Large HDL","BC_premeno","1.071(95% CI:0.835-1.374; P=0.5881208323)","0.995(95% CI:0.945-1.048; P=0.8590726667)","1.256(95% CI:0.932-1.694; P=0.1344683764)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_FC","Free Cholesterol in Very Large HDL","BC_premeno","1.095(95% CI:0.858-1.398; P=0.4642002697)","1.007(95% CI:0.958-1.059; P=0.773613976)","1.266(95% CI:0.948-1.69; P=0.1093851813)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_PL","Phospholipids in Very Large HDL","BC_premeno","1.122(95% CI:0.882-1.427; P=0.3489118887)","1.003(95% CI:0.954-1.055; P=0.9016875063)","1.284(95% CI:0.959-1.718; P=0.0933574734)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_TG","Triglycerides in Very Large HDL","BC_premeno","1.09(95% CI:0.865-1.373; P=0.4665416377)","0.968(95% CI:0.922-1.016; P=0.1921897968)","1.017(95% CI:0.75-1.378; P=0.914023865)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_C","Cholesterol in Very Large VLDL","BC_premeno","1.03(95% CI:0.785-1.353; P=0.8290915887)","0.952(95% CI:0.902-1.004; P=0.0714019265)","0.932(95% CI:0.66-1.316; P=0.6873478539)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_CE","Cholesteryl Esters in Very Large VLDL","BC_premeno","1.02(95% CI:0.777-1.34; P=0.884916598)","0.951(95% CI:0.901-1.002; P=0.0607497569)","0.946(95% CI:0.674-1.328; P=0.7469298123)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_FC","Free Cholesterol in Very Large VLDL","BC_premeno","1.043(95% CI:0.797-1.366; P=0.7570357069)","0.956(95% CI:0.905-1.009; P=0.1003305888)","0.915(95% CI:0.641-1.305; P=0.6230942251)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_PL","Phospholipids in Very Large VLDL","BC_premeno","1.045(95% CI:0.799-1.367; P=0.7465078701)","0.957(95% CI:0.906-1.01; P=0.1122727064)","0.91(95% CI:0.636-1.302; P=0.6063950284)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_TG","Triglycerides in Very Large VLDL","BC_premeno","1.032(95% CI:0.788-1.35; P=0.8208106518)","0.96(95% CI:0.909-1.013; P=0.1393211675)","0.888(95% CI:0.617-1.278; P=0.5224916515)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_C","Cholesterol in Very Small VLDL","BC_premeno","0.992(95% CI:0.756-1.301; P=0.9525795357)","0.951(95% CI:0.904-0.999; P=0.0461386868)","1.082(95% CI:0.788-1.485; P=0.6274516289)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_CE","Cholesteryl Esters in Very Small VLDL","BC_premeno","0.986(95% CI:0.751-1.294; P=0.9179910807)","0.95(95% CI:0.904-0.999; P=0.0455821257)","1.101(95% CI:0.801-1.512; P=0.5544207253)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_FC","Free Cholesterol in Very Small VLDL","BC_premeno","1.013(95% CI:0.772-1.329; P=0.9280579904)","0.951(95% CI:0.904-1.001; P=0.0533429065)","1.038(95% CI:0.754-1.429; P=0.81904089)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_PL","Phospholipids in Very Small VLDL","BC_premeno","1.037(95% CI:0.794-1.353; P=0.7907226154)","0.959(95% CI:0.912-1.008; P=0.101030957)","1.027(95% CI:0.747-1.413; P=0.8675986018)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_TG","Triglycerides in Very Small VLDL","BC_premeno","1.064(95% CI:0.825-1.373; P=0.6326733677)","0.966(95% CI:0.918-1.017; P=0.1846677456)","0.948(95% CI:0.68-1.321; P=0.7509935524)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_C","Cholesterol in Chylomicrons and Extremely Large VLDL","BC_premeno","1.106(95% CI:0.859-1.425; P=0.4330300221)","0.96(95% CI:0.91-1.014; P=0.1437489815)","0.923(95% CI:0.647-1.317; P=0.658581808)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_CE","Cholesteryl Esters in Chylomicrons and Extremely Large VLDL","BC_premeno","1.112(95% CI:0.863-1.433; P=0.4110939624)","0.963(95% CI:0.912-1.017; P=0.1761236584)","0.939(95% CI:0.662-1.334; P=0.7271503783)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_FC","Free Cholesterol in Chylomicrons and Extremely Large VLDL","BC_premeno","1.101(95% CI:0.857-1.413; P=0.4522623035)","0.958(95% CI:0.907-1.012; P=0.1232982923)","0.894(95% CI:0.619-1.292; P=0.551297219)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_PL","Phospholipids in Chylomicrons and Extremely Large VLDL","BC_premeno","1.115(95% CI:0.873-1.425; P=0.3822355367)","0.961(95% CI:0.909-1.015; P=0.1527849718)","0.906(95% CI:0.626-1.311; P=0.5997354988)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_TG","Triglycerides in Chylomicrons and Extremely Large VLDL","BC_premeno","1.108(95% CI:0.867-1.416; P=0.4126498481)","0.964(95% CI:0.913-1.018; P=0.1828705991)","0.95(95% CI:0.668-1.351; P=0.7772365056)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetate","Acetate","CC","0.967(95% CI:0.833-1.122; P=0.6594856088)","1.019(95% CI:0.99-1.049; P=0.2036695546)","0.859(95% CI:0.653-1.131; P=0.2799450855)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetoacetate","Acetoacetate","CC","0.918(95% CI:0.791-1.064; P=0.2563640473)","1.072(95% CI:1.044-1.101; P=0.0000002006)","0.885(95% CI:0.733-1.069; P=0.2059778698)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetone","Acetone","CC","0.926(95% CI:0.794-1.081; P=0.3304169381)","1.042(95% CI:1.013-1.072; P=0.0041187699)","0.918(95% CI:0.764-1.102; P=0.3582232728)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ala","Alanine","CC","0.89(95% CI:0.778-1.02; P=0.09306879)","0.993(95% CI:0.959-1.028; P=0.6981576325)","0.898(95% CI:0.762-1.058; P=0.1998743986)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Albumin","Albumin","CC","0.961(95% CI:0.833-1.109; P=0.5872453691)","0.884(95% CI:0.854-0.915; P=0)","0.905(95% CI:0.769-1.066; P=0.2331574381)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","CC","0.995(95% CI:0.858-1.154; P=0.9475131601)","0.976(95% CI:0.937-1.016; P=0.2401467754)","1.042(95% CI:0.876-1.241; P=0.6402447441)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoB","Apolipoprotein B","CC","1.022(95% CI:0.894-1.17; P=0.7464088012)","0.981(95% CI:0.949-1.015; P=0.2772192296)","0.963(95% CI:0.823-1.128; P=0.6431423348)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","CC","0.987(95% CI:0.858-1.135; P=0.850425819)","1.083(95% CI:1.052-1.115; P=0.0000000661)","0.992(95% CI:0.839-1.173; P=0.9234646415)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Cholines","Total Cholines","CC","0.997(95% CI:0.862-1.153; P=0.9639502338)","0.977(95% CI:0.941-1.014; P=0.2221178619)","0.997(95% CI:0.845-1.176; P=0.9690382314)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Citrate","Citrate","CC","1.01(95% CI:0.876-1.165; P=0.8924353182)","1.04(95% CI:1.004-1.077; P=0.0278476178)","0.979(95% CI:0.807-1.187; P=0.8268041076)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","CC","1.028(95% CI:0.9-1.175; P=0.6802062342)","0.959(95% CI:0.928-0.992; P=0.0154998205)","0.952(95% CI:0.817-1.109; P=0.5246679447)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Creatinine","Creatinine","CC","0.943(95% CI:0.813-1.093; P=0.4360740996)","1.05(95% CI:1.018-1.083; P=0.0017371135)","0.956(95% CI:0.798-1.145; P=0.6236456069)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","CC","0.893(95% CI:0.779-1.024; P=0.1057945421)","0.936(95% CI:0.902-0.971; P=0.0004097033)","0.886(95% CI:0.749-1.047; P=0.1563671072)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gln","Glutamine","CC","0.892(95% CI:0.775-1.026; P=0.1081976182)","0.946(95% CI:0.914-0.98; P=0.0017899868)","0.937(95% CI:0.795-1.105; P=0.4379362664)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Glucose","Glucose","CC","0.946(95% CI:0.83-1.077; P=0.399169047)","1.066(95% CI:1.031-1.101; P=0.0001391982)","0.925(95% CI:0.787-1.088; P=0.3493481284)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gly","Glycine","CC","1.033(95% CI:0.895-1.192; P=0.6550643225)","0.99(95% CI:0.953-1.029; P=0.619722337)","0.949(95% CI:0.793-1.136; P=0.5684913118)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","CC","1.074(95% CI:0.931-1.238; P=0.3266860026)","1.133(95% CI:1.092-1.176; P=0)","1.105(95% CI:0.93-1.313; P=0.2571674774)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_C","HDL Cholesterol","CC","0.995(95% CI:0.858-1.154; P=0.9484889177)","0.968(95% CI:0.928-1.01; P=0.1341368653)","1.046(95% CI:0.874-1.252; P=0.6222202614)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_CE","Cholesteryl Esters in HDL","CC","0.998(95% CI:0.861-1.155; P=0.9737447878)","0.964(95% CI:0.925-1.006; P=0.0896773911)","1.047(95% CI:0.875-1.253; P=0.6153776096)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","CC","0.999(95% CI:0.861-1.16; P=0.9932084664)","0.99(95% CI:0.949-1.032; P=0.6368823436)","1.061(95% CI:0.89-1.264; P=0.5109142275)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","CC","0.985(95% CI:0.848-1.145; P=0.8479009446)","0.981(95% CI:0.942-1.023; P=0.3759283602)","1.041(95% CI:0.872-1.243; P=0.6542494304)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","CC","0.987(95% CI:0.85-1.146; P=0.8644563078)","0.988(95% CI:0.949-1.03; P=0.5769216129)","1.044(95% CI:0.876-1.243; P=0.6314555954)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","CC","0.964(95% CI:0.837-1.112; P=0.6176349385)","1.028(95% CI:0.993-1.064; P=0.1152960107)","0.986(95% CI:0.837-1.161; P=0.8674846988)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"His","Histidine","CC","0.944(95% CI:0.824-1.082; P=0.4054429931)","0.92(95% CI:0.887-0.955; P=0.000009659)","0.916(95% CI:0.78-1.075; P=0.2823262011)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","CC","1.007(95% CI:0.881-1.15; P=0.9194483248)","0.953(95% CI:0.92-0.987; P=0.0066830797)","0.952(95% CI:0.815-1.114; P=0.5411742717)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","CC","1.009(95% CI:0.883-1.152; P=0.9005893544)","0.952(95% CI:0.919-0.986; P=0.0054309204)","0.955(95% CI:0.816-1.117; P=0.5615074745)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","CC","0.991(95% CI:0.869-1.13; P=0.8926873731)","0.961(95% CI:0.928-0.995; P=0.0258930018)","0.936(95% CI:0.8-1.096; P=0.4124683059)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","CC","0.978(95% CI:0.856-1.117; P=0.7397075046)","0.97(95% CI:0.937-1.005; P=0.0920022407)","0.913(95% CI:0.78-1.069; P=0.2596670509)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","CC","0.965(95% CI:0.836-1.115; P=0.6320710114)","1.037(95% CI:1.002-1.073; P=0.0377622483)","0.973(95% CI:0.825-1.146; P=0.7410283881)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ile","Isoleucine","CC","0.914(95% CI:0.797-1.048; P=0.1974550611)","1.006(95% CI:0.971-1.042; P=0.7392271089)","0.91(95% CI:0.77-1.076; P=0.2706930268)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","CC","0.981(95% CI:0.845-1.14; P=0.8023915061)","0.991(95% CI:0.95-1.034; P=0.6858930538)","1.066(95% CI:0.889-1.278; P=0.4891779588)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","CC","0.983(95% CI:0.846-1.141; P=0.8190297658)","0.989(95% CI:0.948-1.032; P=0.6232501541)","1.07(95% CI:0.893-1.281; P=0.4656849516)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","CC","0.992(95% CI:0.855-1.152; P=0.9202348262)","1.003(95% CI:0.962-1.047; P=0.873237605)","1.081(95% CI:0.906-1.29; P=0.3872329004)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","CC","0.983(95% CI:0.845-1.143; P=0.8204974166)","0.998(95% CI:0.957-1.041; P=0.9363476228)","1.07(95% CI:0.895-1.28; P=0.4588537135)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","CC","0.946(95% CI:0.818-1.095; P=0.4599017354)","1.021(95% CI:0.986-1.058; P=0.2398622114)","1(95% CI:0.853-1.172; P=0.9995090164)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","CC","1.015(95% CI:0.889-1.159; P=0.8233752671)","0.962(95% CI:0.929-0.995; P=0.0249179531)","0.938(95% CI:0.804-1.095; P=0.4185035645)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","CC","1.015(95% CI:0.889-1.16; P=0.8232887268)","0.966(95% CI:0.934-1; P=0.0495064077)","0.937(95% CI:0.802-1.095; P=0.4161407596)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","CC","1.004(95% CI:0.882-1.144; P=0.9468837245)","0.954(95% CI:0.921-0.987; P=0.0069783163)","0.931(95% CI:0.797-1.088; P=0.3709601242)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","CC","1.009(95% CI:0.884-1.151; P=0.8935669886)","0.961(95% CI:0.929-0.994; P=0.0215184828)","0.934(95% CI:0.799-1.093; P=0.3950040112)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","CC","0.982(95% CI:0.851-1.134; P=0.8080304391)","1.041(95% CI:1.006-1.077; P=0.0221546822)","0.985(95% CI:0.835-1.161; P=0.8538759952)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","CC","1.036(95% CI:0.902-1.19; P=0.620604817)","1.019(95% CI:0.984-1.056; P=0.294944815)","1.02(95% CI:0.863-1.205; P=0.8143785273)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","CC","1.033(95% CI:0.9-1.185; P=0.6476868734)","1.007(95% CI:0.972-1.043; P=0.7167040356)","1.011(95% CI:0.857-1.192; P=0.8957465497)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","CC","1.041(95% CI:0.907-1.195; P=0.5698352841)","1.032(95% CI:0.995-1.069; P=0.0880852707)","1.033(95% CI:0.875-1.221; P=0.6998933383)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","CC","1.043(95% CI:0.909-1.197; P=0.5449392474)","1.036(95% CI:1-1.074; P=0.0509731583)","1.044(95% CI:0.884-1.233; P=0.6106201341)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_TG","Triglycerides in Large VLDL","CC","1.065(95% CI:0.93-1.219; P=0.3621093701)","1.043(95% CI:1.006-1.08; P=0.0213016937)","1.084(95% CI:0.921-1.275; P=0.33391663)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LA","Linoleic Acid","CC","1.06(95% CI:0.924-1.216; P=0.4018547009)","0.974(95% CI:0.941-1.008; P=0.1305534838)","1.042(95% CI:0.888-1.223; P=0.6145659039)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Lactate","Lactate","CC","0.926(95% CI:0.808-1.062; P=0.2733379765)","1.001(95% CI:0.966-1.038; P=0.9560150874)","0.969(95% CI:0.822-1.142; P=0.7059380584)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_C","LDL Cholesterol","CC","1.028(95% CI:0.899-1.175; P=0.6865239599)","0.966(95% CI:0.934-1; P=0.0474800668)","0.951(95% CI:0.814-1.11; P=0.52226192)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_CE","Cholesteryl Esters in LDL","CC","1.028(95% CI:0.898-1.176; P=0.6883137446)","0.972(95% CI:0.939-1.005; P=0.0974541648)","0.952(95% CI:0.814-1.113; P=0.5349074689)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_FC","Free Cholesterol in LDL","CC","1.015(95% CI:0.891-1.156; P=0.8214138512)","0.956(95% CI:0.924-0.989; P=0.0093422174)","0.939(95% CI:0.804-1.096; P=0.4228856235)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_L","Total Lipids in LDL","CC","1.03(95% CI:0.9-1.18; P=0.6639872003)","0.97(95% CI:0.938-1.004; P=0.0829064141)","0.956(95% CI:0.818-1.117; P=0.5718594578)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_PL","Phospholipids in LDL","CC","1.027(95% CI:0.899-1.173; P=0.6999963884)","0.969(95% CI:0.937-1.003; P=0.0705917091)","0.952(95% CI:0.814-1.114; P=0.5412357304)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_TG","Triglycerides in LDL","CC","0.993(95% CI:0.862-1.145; P=0.9254861615)","1.046(95% CI:1.011-1.082; P=0.0103844206)","0.998(95% CI:0.847-1.176; P=0.9805297208)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Leu","Leucine","CC","0.908(95% CI:0.792-1.041; P=0.1663945219)","0.955(95% CI:0.921-0.991; P=0.0151443506)","0.913(95% CI:0.773-1.078; P=0.2826533713)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_C","Cholesterol in Medium HDL","CC","1.007(95% CI:0.87-1.164; P=0.9286678408)","0.966(95% CI:0.928-1.006; P=0.0971095127)","1.049(95% CI:0.881-1.25; P=0.5879081028)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","CC","1.01(95% CI:0.874-1.167; P=0.8962393028)","0.964(95% CI:0.926-1.004; P=0.0780283802)","1.051(95% CI:0.883-1.252; P=0.5725394503)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_FC","Free Cholesterol in Medium HDL","CC","1.008(95% CI:0.87-1.169; P=0.9128651166)","0.979(95% CI:0.94-1.02; P=0.3172410606)","1.057(95% CI:0.889-1.257; P=0.52755509)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_PL","Phospholipids in Medium HDL","CC","0.991(95% CI:0.857-1.146; P=0.8995477079)","0.986(95% CI:0.948-1.025; P=0.465455045)","1.028(95% CI:0.868-1.217; P=0.7481001051)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_TG","Triglycerides in Medium HDL","CC","0.964(95% CI:0.837-1.111; P=0.6137732676)","1.02(95% CI:0.986-1.056; P=0.2551482344)","0.98(95% CI:0.832-1.155; P=0.8130014461)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_C","Cholesterol in Medium LDL","CC","1.036(95% CI:0.906-1.186; P=0.60546906)","0.976(95% CI:0.943-1.009; P=0.1559280944)","0.961(95% CI:0.82-1.126; P=0.6204102784)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_CE","Cholesteryl Esters in Medium LDL","CC","1.037(95% CI:0.905-1.187; P=0.6043505424)","0.982(95% CI:0.949-1.017; P=0.3123935262)","0.966(95% CI:0.822-1.135; P=0.6739121128)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_FC","Free Cholesterol in Medium LDL","CC","1.021(95% CI:0.897-1.163; P=0.7499834193)","0.96(95% CI:0.928-0.994; P=0.0196668199)","0.94(95% CI:0.804-1.098; P=0.4347331165)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_PL","Phospholipids in Medium LDL","CC","1.036(95% CI:0.906-1.184; P=0.607734616)","0.975(95% CI:0.943-1.009; P=0.1512793522)","0.961(95% CI:0.82-1.127; P=0.6229373738)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_TG","Triglycerides in Medium LDL","CC","1.012(95% CI:0.88-1.163; P=0.8720950977)","1.05(95% CI:1.015-1.086; P=0.0049158131)","1.02(95% CI:0.868-1.2; P=0.8093995612)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_VLDL_C","Cholesterol in Medium VLDL","CC","1.01(95% CI:0.886-1.153; P=0.8780760891)","0.972(95% CI:0.94-1.006; P=0.1033262456)","0.953(95% CI:0.814-1.115; P=0.543803794)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
